add device 1: /dev/input/event1
  name:     "Sleep Button"
add device 2: /dev/input/event0
  name:     "Power Button"
add device 3: /dev/input/event2
  name:     "Video Bus"
add device 4: /dev/input/event4
  name:     "AT Raw Set 2 keyboard"
add device 5: /dev/input/event3
  name:     "AT Translated Set 2 keyboard"
add device 6: /dev/input/event8
  name:     "BlueStacks Virtual Touch"
add device 7: /dev/input/event6
  name:     "BlueStacks Virtual Mouse"
add device 8: /dev/input/event7
  name:     "AT Translated Set 2 keyboard"
add device 9: /dev/input/event5
  name:     "VirtualBox mouse integration"
[1528283730.608477] /dev/input/event6: EV_ABS       ABS_X                000030b9            
[1528283730.608477] /dev/input/event6: EV_ABS       ABS_Y                00004bb7            
[1528283730.608477] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.608666] /dev/input/event6: EV_ABS       ABS_X                00003401            
[1528283730.608666] /dev/input/event6: EV_ABS       ABS_Y                00004b8a            
[1528283730.608666] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.608719] /dev/input/event6: EV_ABS       ABS_X                0000395e            
[1528283730.608719] /dev/input/event6: EV_ABS       ABS_Y                00004a24            
[1528283730.608719] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.717090] /dev/input/event6: EV_ABS       ABS_X                00003f7a            
[1528283730.717090] /dev/input/event6: EV_ABS       ABS_Y                00004944            
[1528283730.717090] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.720098] /dev/input/event6: EV_ABS       ABS_X                000040d1            
[1528283730.720098] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.720152] /dev/input/event6: EV_ABS       ABS_X                000042c1            
[1528283730.720152] /dev/input/event6: EV_ABS       ABS_Y                0000499e            
[1528283730.720152] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.720373] /dev/input/event6: EV_ABS       ABS_X                000042e7            
[1528283730.720373] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.722923] /dev/input/event6: EV_ABS       ABS_Y                000049f7            
[1528283730.722923] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.791654] /dev/input/event6: EV_ABS       ABS_Y                00004a51            
[1528283730.791654] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.836626] /dev/input/event6: EV_ABS       ABS_Y                00004a7d            
[1528283730.836626] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.870548] /dev/input/event6: EV_ABS       ABS_Y                00004aaa            
[1528283730.870548] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.906604] /dev/input/event6: EV_ABS       ABS_X                000042c1            
[1528283730.906604] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.946526] /dev/input/event6: EV_ABS       ABS_X                0000429b            
[1528283730.946526] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.956713] /dev/input/event6: EV_ABS       ABS_X                00004275            
[1528283730.956713] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.978814] /dev/input/event6: EV_ABS       ABS_X                00004229            
[1528283730.978814] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283731.007690] /dev/input/event6: EV_ABS       ABS_X                000041b6            
[1528283731.007690] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283731.045500] /dev/input/event6: EV_ABS       ABS_X                00004144            
[1528283731.045500] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283731.111212] /dev/input/event6: EV_ABS       ABS_X                0000411e            
[1528283731.111212] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283731.194514] /dev/input/event7: EV_MSC       MSC_SCAN             000000db            
[1528283731.194514] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528283731.194658] /dev/input/event7: EV_MSC       MSC_SCAN             000000dc            
[1528283731.194658] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528283731.194872] /dev/input/event7: EV_MSC       MSC_SCAN             000000dd            
[1528283731.194872] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528283731.194951] /dev/input/event7: EV_MSC       MSC_SCAN             00000038            
[1528283731.194951] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528283731.194979] /dev/input/event7: EV_MSC       MSC_SCAN             00000038            
[1528283731.194979] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528283731.195085] /dev/input/event7: EV_MSC       MSC_SCAN             00000036            
[1528283731.195085] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528283731.195113] /dev/input/event7: EV_MSC       MSC_SCAN             0000001d            
[1528283731.195113] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528283731.197303] /dev/input/event8: EV_ABS       ABS_MT_POSITION_X    0000411d            
[1528283731.197241] /dev/input/event7: EV_MSC       MSC_SCAN             00000000            
[1528283731.197303] /dev/input/event8: EV_ABS       ABS_MT_POSITION_Y    00004aaa            
[1528283731.197241] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528283731.197303] /dev/input/event8: EV_SYN       SYN_MT_REPORT        00000000            
[1528283731.197303] /dev/input/event8: EV_SYN       SYN_REPORT           00000000            
[1528283731.197332] /dev/input/event8: EV_ABS       ABS_MT_POSITION_X    0000411d            
[1528283731.197332] /dev/input/event8: EV_ABS       ABS_MT_POSITION_Y    00004aaa            
[1528283731.197332] /dev/input/event8: EV_SYN       SYN_MT_REPORT        00000000            
[1528283731.197332] /dev/input/event8: EV_SYN       SYN_REPORT           00000000            
[1528283731.259456] /dev/input/event8: EV_SYN       SYN_MT_REPORT        00000000            
[1528283731.259456] /dev/input/event8: EV_SYN       SYN_REPORT           00000000            
[1528283731.381724] /dev/input/event6: EV_ABS       ABS_X                000040ab            
[1528283731.381724] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283731.392701] /dev/input/event6: EV_ABS       ABS_X                00004085            
[1528283731.392701] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283731.415652] /dev/input/event6: EV_ABS       ABS_X                00004039            
[1528283731.415652] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283731.428441] /dev/input/event6: EV_ABS       ABS_X                00003f2e            
[1528283731.428441] /dev/input/event6: EV_ABS       ABS_Y                00004a7d            
[1528283731.428441] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283731.445530] /dev/input/event6: EV_ABS       ABS_X                00003ebb            
[1528283731.445530] /dev/input/event6: EV_ABS       ABS_Y                00004a51            
[1528283731.445530] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283731.467245] /dev/input/event6: EV_ABS       ABS_X                00003e49            
[1528283731.467245] /dev/input/event6: EV_ABS       ABS_Y                00004a24            
[1528283731.467245] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283731.473456] /dev/input/event6: EV_ABS       ABS_X                00003dfd            
[1528283731.473456] /dev/input/event6: EV_ABS       ABS_Y                0000499e            
[1528283731.473456] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283731.492973] /dev/input/event6: EV_ABS       ABS_X                00003d8a            
[1528283731.492973] /dev/input/event6: EV_ABS       ABS_Y                00004944            
