add device 1: /dev/input/event1
  name:     "Sleep Button"
add device 2: /dev/input/event0
  name:     "Power Button"
add device 3: /dev/input/event2
  name:     "Video Bus"
add device 4: /dev/input/event4
  name:     "AT Raw Set 2 keyboard"
add device 5: /dev/input/event3
  name:     "AT Translated Set 2 keyboard"
add device 6: /dev/input/event8
  name:     "BlueStacks Virtual Touch"
add device 7: /dev/input/event6
  name:     "BlueStacks Virtual Mouse"
add device 8: /dev/input/event7
  name:     "AT Translated Set 2 keyboard"
add device 9: /dev/input/event5
  name:     "VirtualBox mouse integration"
[1528436907.414641] /dev/input/event6: EV_ABS       ABS_Y                00006917            
[1528436907.414641] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.429008] /dev/input/event6: EV_ABS       ABS_X                000021ad            
[1528436907.429008] /dev/input/event6: EV_ABS       ABS_Y                00006bb7            
[1528436907.429008] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.445486] /dev/input/event6: EV_ABS       ABS_X                00002114            
[1528436907.445486] /dev/input/event6: EV_ABS       ABS_Y                00006e56            
[1528436907.445486] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.461911] /dev/input/event6: EV_ABS       ABS_X                000020a2            
[1528436907.461911] /dev/input/event6: EV_ABS       ABS_Y                00007016            
[1528436907.461911] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.479274] /dev/input/event6: EV_ABS       ABS_X                00002055            
[1528436907.479274] /dev/input/event6: EV_ABS       ABS_Y                00007202            
[1528436907.479274] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.495322] /dev/input/event6: EV_ABS       ABS_X                00002009            
[1528436907.495322] /dev/input/event6: EV_ABS       ABS_Y                0000725c            
[1528436907.495322] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.511861] /dev/input/event6: EV_ABS       ABS_X                00001fbd            
[1528436907.511861] /dev/input/event6: EV_ABS       ABS_Y                0000733c            
[1528436907.511861] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.529703] /dev/input/event6: EV_ABS       ABS_X                00001f97            
[1528436907.529703] /dev/input/event6: EV_ABS       ABS_Y                00007368            
[1528436907.529703] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.546141] /dev/input/event6: EV_ABS       ABS_X                00001efe            
[1528436907.546141] /dev/input/event6: EV_ABS       ABS_Y                00007395            
[1528436907.546141] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.560312] /dev/input/event6: EV_ABS       ABS_X                00001e65            
[1528436907.560312] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.578942] /dev/input/event6: EV_ABS       ABS_X                00001d34            
[1528436907.578942] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.594105] /dev/input/event6: EV_ABS       ABS_X                00001c4f            
[1528436907.594105] /dev/input/event6: EV_ABS       ABS_Y                000073c2            
[1528436907.594105] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.612920] /dev/input/event6: EV_ABS       ABS_X                00001b6a            
[1528436907.612920] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.635530] /dev/input/event6: EV_ABS       ABS_X                00001a39            
[1528436907.635530] /dev/input/event6: EV_ABS       ABS_Y                000073ef            
[1528436907.635530] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.646655] /dev/input/event6: EV_ABS       ABS_X                000019a1            
[1528436907.646655] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.659497] /dev/input/event6: EV_ABS       ABS_X                00001823            
[1528436907.659497] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.680017] /dev/input/event6: EV_ABS       ABS_X                0000178b            
[1528436907.680017] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.694085] /dev/input/event6: EV_ABS       ABS_X                00001765            
[1528436907.694085] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.721721] /dev/input/event6: EV_ABS       ABS_X                0000173e            
[1528436907.721721] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.850778] /dev/input/event6: EV_ABS       ABS_X                000016f2            
[1528436907.850778] /dev/input/event6: EV_ABS       ABS_Y                00007448            
[1528436907.850778] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.864981] /dev/input/event6: EV_ABS       ABS_X                000016a6            
